Title,Description,Priority,Status,Labels
FE-302 Practice Setup Screen,"Description: Create UI where users select job description and resume before generating questions. Target: questions generation triggered successfully. Dependency: FE-202.",2,Backlog,"frontend,sprint3"
FE-303 Display Generated Questions,"Description: Display generated interview questions in preparation screen before starting session. Target: questions rendered correctly. Dependency: FE-302.",2,Backlog,"frontend,sprint3"
BE-401 Create Practice Session Model,"Description: Implement session lifecycle model including states active, completed, abandoned. Target: sessions stored in database. Dependency: BE-103.",1,Backlog,"backend,sprint4"
BE-402 Session Start Endpoint,"Description: Implement POST /session/start endpoint to initialize interview session with generated questions. Target: session created successfully. Dependency: BE-401.",1,Backlog,"backend,sprint4"
BE-403 Answer Submission Endpoint,"Description: Implement POST /session/answer endpoint that stores user answers to interview questions. Target: answers saved successfully. Dependency: BE-401.",1,Backlog,"backend,sprint4"
FE-401 Interview Chat Interface,"Description: Build interview chat UI showing question and input field for answers. Target: user can answer questions interactively. Dependency: FE-303.",1,Backlog,"frontend,sprint4"
FE-402 Question Navigation,"Description: Implement next and previous navigation for interview questions. Target: users can move between questions smoothly. Dependency: FE-401.",2,Backlog,"frontend,sprint4"
BE-501 Answer Analysis AI Prompt,"Description: Implement AI prompt for analyzing answer quality and returning score, strengths, weaknesses, improvements, and STAR feedback. Target: structured feedback JSON returned. Dependency: BE-201.",1,Backlog,"backend,sprint5"
BE-502 Feedback Generation Endpoint,"Description: Implement POST /feedback/generate endpoint that stores AI feedback for answers. Target: feedback stored in database. Dependency: BE-501.",1,Backlog,"backend,sprint5"
BE-503 Score Aggregation Logic,"Description: Implement service calculating average session score and analytics metrics. Target: metrics stored for dashboard queries. Dependency: BE-502.",2,Backlog,"backend,sprint5"
FE-501 Feedback Display UI,"Description: Display AI feedback after each answer including score, strengths, and improvements. Target: feedback visible immediately after answer submission. Dependency: FE-401.",1,Backlog,"frontend,sprint5"
FE-502 Session Summary Page,"Description: Create session summary page showing final score and improvement suggestions. Target: summary generated after session completion. Dependency: FE-501.",2,Backlog,"frontend,sprint5"
BE-601 Session History Endpoint,"Description: Implement GET /session/history endpoint returning past interview sessions. Target: sessions listed correctly per user. Dependency: BE-401.",2,Backlog,"backend,sprint6"
BE-602 Progress Analytics Endpoint,"Description: Implement GET /progress endpoint returning average score, weak areas, and sessions completed. Target: analytics available for dashboard. Dependency: BE-503.",2,Backlog,"backend,sprint6"
BE-603 Deploy Backend Production,"Description: Deploy Go backend to Fly.io or Railway with Docker container and environment configuration. Target: API publicly accessible. Dependency: all backend tasks.",1,Backlog,"backend,sprint6"
FE-601 Session History UI,"Description: Create UI page listing past practice sessions with scores. Target: users can review previous interviews. Dependency: BE-601.",2,Backlog,"frontend,sprint6"
FE-602 Progress Dashboard UI,"Description: Create analytics dashboard showing score trends and weak areas using charts. Target: dashboard reflects backend analytics. Dependency: BE-602.",2,Backlog,"frontend,sprint6"
FE-603 Deploy Frontend Production,"Description: Deploy Next.js frontend to Vercel with environment variables and API configuration. Target: public production application accessible. Dependency: all frontend tasks.",1,Backlog,"frontend,sprint6"
